recordID,year,decimalLatitude,decimalLongitude,locality,predatorScientificName,predatorAphiaID,predatorCommonName,breedingStatus,preyScientificName,preyAphiaID,frequencyOfOccurrence,sampleSize,referenceID
1,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Ammodytidae,125516,0.192,78.0,REF028
2,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Gaidropsarus,125743,0.0,78.0,REF028
3,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Melanogrammus aeglefinus,126437,0.0,78.0,REF028
4,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Merlangius merlangus,126438,0.0,78.0,REF028
5,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,other,,0.038,78.0,REF028
6,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Pollachius virens,126441,0.0,78.0,REF028
7,1973,52.17,-9.75,Co. Kerry,Fratercula arctica,137131,Atlantic puffin,breeding,Sprattus sprattus,126425,0.769,78.0,REF028
8,1983,52.5,1.0,East Anglia,Fratercula arctica,137131,Atlantic puffin,non-breeding,Ammodytidae,125516,0.89,30.0,REF004
9,1983,52.5,1.0,East Anglia,Fratercula arctica,137131,Atlantic puffin,non-breeding,Clupeidae,125464,0.33,30.0,REF004
10,1983,52.5,1.0,East Anglia,Fratercula arctica,137131,Atlantic puffin,non-breeding,Polychaeta,883,0.11,30.0,REF004
11,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Ammodytidae,125516,0.745,47.0,REF028
12,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Gaidropsarus,125743,0.0,47.0,REF028
13,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Melanogrammus aeglefinus,126437,0.0,47.0,REF028
14,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Merlangius merlangus,126438,0.255,47.0,REF028
15,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,other,,0.0,47.0,REF028
16,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Pollachius virens,126441,0.0,47.0,REF028
17,1974,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Sprattus sprattus,126425,0.0,47.0,REF028
18,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Ammodytidae,125516,0.761,117.0,REF028
19,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Gaidropsarus,125743,0.137,117.0,REF028
20,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Melanogrammus aeglefinus,126437,0.0,117.0,REF028
21,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Merlangius merlangus,126438,0.0,117.0,REF028
22,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,other,,0.0,117.0,REF028
23,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Pollachius virens,126441,0.0,117.0,REF028
24,1975,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Sprattus sprattus,126425,0.103,117.0,REF028
25,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Ammodytidae,125516,0.939,212.0,REF028
26,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Gaidropsarus,125743,0.028,212.0,REF028
27,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Melanogrammus aeglefinus,126437,0.0,212.0,REF028
28,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Merlangius merlangus,126438,0.0,212.0,REF028
29,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,other,,0.0,212.0,REF028
30,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Pollachius virens,126441,0.033,212.0,REF028
31,1976,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Sprattus sprattus,126425,0.0,212.0,REF028
32,1977,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Ammodytidae,125516,0.94,277.0,REF029
33,1977,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Gaidropsarus,125743,0.01,277.0,REF029
34,1977,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Merlangius merlangus,126438,0.01,277.0,REF029
35,1977,59.56,-1.63,Fair Isle,Fratercula arctica,137131,Atlantic puffin,breeding,Pollachius virens,126441,0.0,277.0,REF029
