sample_unit,predatorScientificName,predatorCommonName,locality,year,decimalLatitude,decimalLongitude,cluster,pc1,pc2,era
Alca torda | East Anglia | 1983,Alca torda,Razorbill,East Anglia,1983,52.5,1.0,4,0.32996205357742403,0.6329314159318582,before 1990
Alca torda | Moray Firth | 1983,Alca torda,Razorbill,Moray Firth,1983,57.75,-3.5,1,0.18396055291043795,-1.1762954234369747,before 1990
Alca torda | Newcastle | 1983,Alca torda,Razorbill,Newcastle,1983,54.972,-1.608,1,1.1242470978683592,0.6179114790057915,before 1990
Alca torda | Rathlin | 2008,Alca torda,Razorbill,Rathlin,2008,55.29,-6.19,4,-0.5809658480849748,0.11612212294956409,1990 or later
Alca torda | Rathlin | 2009,Alca torda,Razorbill,Rathlin,2009,55.29,-6.19,4,-0.4224049582540638,0.31375208037918667,1990 or later
Alca torda | Rathlin | 2010,Alca torda,Razorbill,Rathlin,2010,55.29,-6.19,4,-0.6459662410581216,0.04928327245897046,1990 or later
Fratercula arctica | Co. Kerry | 1973,Fratercula arctica,Atlantic puffin,Co. Kerry,1973,52.17,-9.75,3,-0.08460812411219146,-0.6963292015223161,before 1990
Fratercula arctica | East Anglia | 1983,Fratercula arctica,Atlantic puffin,East Anglia,1983,52.5,1.0,4,-0.5366475520048422,0.20692096710519434,before 1990
Fratercula arctica | Fair Isle | 1974,Fratercula arctica,Atlantic puffin,Fair Isle,1974,59.56,-1.63,4,-0.6149082154266683,-0.25181740674204794,before 1990
Fratercula arctica | Fair Isle | 1975,Fratercula arctica,Atlantic puffin,Fair Isle,1975,59.56,-1.63,4,-0.601417609075725,-0.23609564851680054,before 1990
Fratercula arctica | Fair Isle | 1976,Fratercula arctica,Atlantic puffin,Fair Isle,1976,59.56,-1.63,4,-0.7475876331733212,-0.09028507323927737,before 1990
Fratercula arctica | Fair Isle | 1977,Fratercula arctica,Atlantic puffin,Fair Isle,1977,59.56,-1.63,4,-0.6705918960568653,-0.14443790460520944,before 1990
Fratercula arctica | Fair Isle | 1986,Fratercula arctica,Atlantic puffin,Fair Isle,1986,59.56,-1.63,4,-0.7203464109113608,-0.10777025501039689,before 1990
Fratercula arctica | Fair Isle | 1987,Fratercula arctica,Atlantic puffin,Fair Isle,1987,59.56,-1.63,4,-0.7428803679930045,-0.06636324440158888,before 1990
Fratercula arctica | Fair Isle | 1988,Fratercula arctica,Atlantic puffin,Fair Isle,1988,59.56,-1.63,4,-0.08270945032284695,-0.289993509737831,before 1990
Fratercula arctica | Fair Isle | 1989,Fratercula arctica,Atlantic puffin,Fair Isle,1989,59.56,-1.63,4,-0.40264643399186245,-0.017739503357797493,before 1990
Fratercula arctica | Fair Isle | 1990,Fratercula arctica,Atlantic puffin,Fair Isle,1990,59.56,-1.63,4,-0.2140251478082829,-0.017986027657993973,1990 or later
Fratercula arctica | Fair Isle | 1991,Fratercula arctica,Atlantic puffin,Fair Isle,1991,59.56,-1.63,4,-0.613213300612015,-0.044510439772356504,1990 or later
Fratercula arctica | Fair Isle | 1992,Fratercula arctica,Atlantic puffin,Fair Isle,1992,59.56,-1.63,4,-0.11030833217590764,-0.30438105523284037,1990 or later
Fratercula arctica | Fair Isle | 1993,Fratercula arctica,Atlantic puffin,Fair Isle,1993,59.56,-1.63,4,-0.22570027163960785,-0.14223203118131855,1990 or later
Fratercula arctica | Fair Isle | 1994,Fratercula arctica,Atlantic puffin,Fair Isle,1994,59.56,-1.63,4,-0.48549001697810645,-0.1264867244772119,1990 or later
Fratercula arctica | Fair Isle | 1995,Fratercula arctica,Atlantic puffin,Fair Isle,1995,59.56,-1.63,4,-0.28807512465357465,-0.06022490788658408,1990 or later
Fratercula arctica | Fair Isle | 1996,Fratercula arctica,Atlantic puffin,Fair Isle,1996,59.56,-1.63,4,-0.5557295430005992,-0.021810817069862404,1990 or later
Fratercula arctica | Fair Isle | 1997,Fratercula arctica,Atlantic puffin,Fair Isle,1997,59.56,-1.63,4,-0.19839663279224598,-0.2045274834572629,1990 or later
Fratercula arctica | Fair Isle | 1998,Fratercula arctica,Atlantic puffin,Fair Isle,1998,59.56,-1.63,4,0.004856448692891075,-0.3652216621825691,1990 or later
Fratercula arctica | Fair Isle | 1999,Fratercula arctica,Atlantic puffin,Fair Isle,1999,59.56,-1.63,4,-0.6538204471773472,-0.06611961747820767,1990 or later
Fratercula arctica | Fair Isle | 2000,Fratercula arctica,Atlantic puffin,Fair Isle,2000,59.56,-1.63,4,-0.6864299174210641,-0.037454237283980556,1990 or later
Fratercula arctica | Fair Isle | 2001,Fratercula arctica,Atlantic puffin,Fair Isle,2001,59.56,-1.63,4,-0.41354952037020654,-0.11135117279161255,1990 or later
